name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Achromobacter seleniivolatilans	3047478	S	18	6	24	0.00007
Achromobacter mucicolens	1389922	S	13	15	28	0.00008
Achromobacter veterisilvae	2069367	S	12	0	12	0.00003
Bordetella sp. H567	1697043	S	31	2	33	0.00009
Bordetella sp. N	1746199	S	18	1	19	0.00005
Bordetella bronchialis	463025	S	40	4	44	0.00012
Bordetella flabilis	463014	S	32	2	34	0.00010
Bordetella genomosp. 8	1416806	S	28	2	30	0.00008
Bordetella avium	521	S	26	2	28	0.00008
Bordetella hinzii	103855	S	26	5	31	0.00009
Bordetella genomosp. 13	463040	S	26	4	30	0.00008
Bordetella trematum	123899	S	23	2	25	0.00007
Bordetella petrii	94624	S	19	4	23	0.00006
Bordetella bronchiseptica	518	S	14	39	53	0.00015
Bordetella holmesii	35814	S	14	1	15	0.00004
Bordetella pseudohinzii	1331258	S	14	3	17	0.00005
Bordetella genomosp. 9	1416803	S	14	1	15	0.00004
Bordetella pertussis	520	S	13	54	67	0.00019
Alcaligenes faecalis	511	S	50	28	78	0.00022
Alcaligenes sp. SDU_A2	3136634	S	13	0	13	0.00004
Alcaligenes ammonioxydans	2582914	S	15	1	16	0.00005
Alcaligenes aquatilis	323284	S	10	18	28	0.00008
Pigmentiphaga sp. CHJ604	3081984	S	33	0	33	0.00009
Pigmentiphaga sp. H8	2488560	S	16	1	17	0.00005
Pigmentiphaga aceris	1940612	S	22	1	23	0.00006
Castellaniella ginsengisoli	546114	S	26	0	26	0.00007
Castellaniella defragrans	75697	S	20	2	22	0.00006
Castellaniella sp. MT123	3140381	S	18	0	18	0.00005
Advenella mimigardefordensis	302406	S	14	1	15	0.00004
Advenella alkanexedens	1481665	S	13	0	13	0.00004
Orrella dioscoreae	1851544	S	18	2	20	0.00006
Orrella marina	2163011	S	10	0	10	0.00003
Pollutimonas sp. M17	2962065	S	16	2	18	0.00005
Pollutimonas thiosulfatoxidans	2028345	S	10	1	11	0.00003
Kerstersia gyiorum	206506	S	22	1	23	0.00006
Neopusillimonas aromaticivorans	2979868	S	21	1	22	0.00006
Paralcaligenes sp. KSB-10	2901142	S	18	0	18	0.00005
Sutterella wadsworthensis	40545	S	19	1	20	0.00006
Dechloromonas sp. A34	447588	S	614	118	732	0.00206
Dechloromonas sp. ZY10	2664436	S	605	0	605	0.00170
Dechloromonas sp. HYN0024	2231055	S	333	74	407	0.00115
Dechloromonas sp. TW-R-39-2	2654218	S	264	120	384	0.00108
Dechloromonas denitrificans	281362	S	887	193	1080	0.00304
Ferribacterium limneticum	76259	S	2456	391	2847	0.00802
Azonexus hydrophilus	418702	S	549	0	549	0.00155
Quatrionicoccus australiensis	138118	S	471	107	578	0.00163
Thauera sp. GDN1	2944810	S	431	187	618	0.00174
Thauera sp. K11	2005884	S	346	120	466	0.00131
Thauera sp. JM12B12	3142262	S	346	0	346	0.00097
Thauera sp. WB-2	2897772	S	199	55	254	0.00072
Thauera aminoaromatica	164330	S	930	319	1249	0.00352
Thauera humireducens	1134435	S	338	87	425	0.00120
Thauera aromatica	59405	S	104	55	159	0.00045
Thauera chlorobenzoica	96773	S	97	52	149	0.00042
Azoarcus sp. DD4	2027405	S	140	44	184	0.00052
Azoarcus sp. KH32C	748247	S	123	18	141	0.00040
Azoarcus sp. CIB	198107	S	94	46	140	0.00039
Azoarcus sp. DN11	356837	S	76	36	112	0.00032
Azoarcus olearius	418699	S	129	36	165	0.00046
Nitrogeniibacter mangrovi	2016596	S	113	22	135	0.00038
Nitrogeniibacter aestuarii	2815343	S	89	9	98	0.00028
Parazoarcus communis	41977	S	122	15	137	0.00039
Pseudothauera hydrothermalis	2184083	S	63	7	70	0.00020
Pseudazoarcus pumilus	2067960	S	51	6	57	0.00016
Azospira restricta	404405	S	444	93	537	0.00151
Azospira sp. I09	1765049	S	152	105	257	0.00072
Azospira oryzae	146939	S	92	81	173	0.00049
Azospira inquinata	2785627	S	76	3	79	0.00022
uncultured Propionivibrio sp.	426737	S	820	51	871	0.00245
Aromatoleum aromaticum	551760	S	101	47	148	0.00042
Aromatoleum petrolei	76116	S	67	23	90	0.00025
Aromatoleum bremense	76115	S	65	22	87	0.00024
Aromatoleum buckelii	200254	S	15	3	18	0.00005
Niveibacterium microcysteis	2811415	S	136	10	146	0.00041
Niveibacterium sp. SC-1	3135646	S	76	0	76	0.00021
Oryzomicrobium terrae	1735038	S	131	21	152	0.00043
Fluviibacter phosphoraccumulans	1751046	S	33	1	34	0.00010
Aquaspirillum sp. LM1	1938604	S	3866	280	4146	0.01167
Laribacter hongkongensis	168471	S	502	79	581	0.00164
Microvirgula aerodenitrificans	57480	S	43	3	46	0.00013
Neisseria sp. KEM232	655307	S	13	2	15	0.00004
Neisseria dentiae	194197	S	26	1	27	0.00008
Neisseria leonii	2995413	S	24	0	24	0.00007
Neisseria gonorrhoeae	485	S	18	156	174	0.00049
Neisseria shayeganii	607712	S	18	0	18	0.00005
Neisseria wadsworthii	607711	S	14	0	14	0.00004
Neisseria dumasiana	1931275	S	13	0	13	0.00004
Neisseria brasiliensis	2666100	S	13	0	13	0.00004
Neisseria chenwenguii	1853278	S	12	0	12	0.00003
Neisseria yangbaofengii	2709396	S	12	0	12	0.00003
Neisseria canis	493	S	11	0	11	0.00003
Neisseria subflava	28449	S	11	2	13	0.00004
Neisseria animaloris	326522	S	10	0	10	0.00003
Neisseria lisongii	2912188	S	10	0	10	0.00003
Uruburuella suis	252130	S	250	11	261	0.00073
Uruburuella testudinis	1282863	S	13	0	13	0.00004
Vitreoscilla filiformis	63	S	156	12	168	0.00047
Vitreoscilla massiliensis	1689272	S	19	2	21	0.00006
Crenobacter cavernae	2290923	S	38	5	43	0.00012
Kingella oralis	505	S	11	1	12	0.00003
Paralysiella testudinis	2809020	S	23	1	24	0.00007
Snodgrassella alvi	1196083	S	16	1	17	0.00005
Chromobacterium sp. ATCC 53434	2059672	S	33	18	51	0.00014
Chromobacterium sp. IIBBL 290-4	2953890	S	29	13	42	0.00012
Chromobacterium violaceum	536	S	36	56	92	0.00026
Chromobacterium amazonense	1382803	S	33	22	55	0.00015
Chromobacterium subtsugae	251747	S	26	0	26	0.00007
Chromobacterium paludis	2605945	S	25	18	43	0.00012
Chromobacterium vaccinii	1108595	S	22	21	43	0.00012
Chromobacterium phragmitis	2202141	S	21	19	40	0.00011
Vogesella sp. XCS3	2877939	S	177	22	199	0.00056
Vogesella sp. LIG4	1192162	S	63	12	75	0.00021
Aquitalea aquatilis	1537400	S	33	7	40	0.00011
Aquitalea sp. USM4	1590041	S	33	13	46	0.00013
Aquitalea magnusonii	332411	S	22	9	31	0.00009
