# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
55601	51.0	0.0	0.0
2479546	44.0	0.0	0.0
28171	43.0	0.0	0.0
2572923	36.0	0.0	0.0
1435069	35.0	0.0	0.0
675	32.0	0.0	0.0
190893	30.0	0.0	0.0
1074311	29.0	0.0	0.0
45658	28.0	0.0	0.0
47951	27.0	0.0	0.0
687	25.0	0.0	0.0
28173	22.0	0.0	0.0
92172	21.0	0.0	0.0
474394	20.0	0.0	0.0
76258	20.0	0.0	0.0
673372	20.0	0.0	0.0
650003	22.0	0.0	0.0
28169	18.0	0.0	0.0
104609	18.0	0.0	0.0
2077090	16.0	0.0	0.0
296199	15.0	0.0	0.0
184755	15.0	0.0	0.0
413403	14.0	0.0	0.0
1117707	14.0	0.0	0.0
435912	12.0	0.0	0.0
1328770	12.0	0.0	0.0
1918945	12.0	0.0	0.0
29497	11.0	0.0	0.0
2662262	11.0	0.0	0.0
246167	10.0	0.0	0.0
1918946	10.0	0.0	0.0
38293	55.0	22.0	27.0
2899122	15.0	0.0	0.0
2912855	11.0	0.0	0.0
553611	29.0	18.0	14.0
865757	14.0	0.0	0.0
673	13.0	0.0	0.0
668	10.0	0.0	0.0
43263	2197.0	649.0	2373.0
287	2103.0	1810.0	2145.0
301	306.0	66.0	119.0
1149133	30.0	0.0	25.0
300	65.0	28.0	74.0
46680	32.0	21.0	45.0
95301	16.0	0.0	18.0
53412	45.0	19.0	29.0
53408	51.0	23.0	55.0
53406	24.0	0.0	19.0
587753	138.0	81.0	139.0
380021	3708.0	28.0	610.0
296	26.0	25.0	19.0
86185	15.0	15.0	10.0
3096605	78.0	16.0	65.0
2983246	62.0	21.0	65.0
2898441	54.0	14.0	44.0
2604941	41.0	13.0	0.0
253237	85.0	38.0	0.0
1357074	38.0	10.0	26.0
1028989	37.0	10.0	33.0
3074146	41.0	13.0	34.0
3077589	35.0	0.0	27.0
2994661	38.0	15.0	25.0
2811422	43.0	13.0	28.0
2866808	30.0	21.0	23.0
1027966	31.0	20.0	14.0
2049589	32.0	21.0	25.0
3139142	28.0	13.0	12.0
2735906	32.0	13.0	17.0
3242491	27.0	0.0	12.0
2705472	28.0	0.0	15.0
3020843	30.0	0.0	32.0
2653853	40.0	0.0	25.0
2974552	35.0	17.0	30.0
2678260	27.0	11.0	20.0
2893890	24.0	12.0	19.0
3137451	22.0	12.0	10.0
1981174	23.0	0.0	12.0
75692	27.0	0.0	33.0
2726989	27.0	0.0	15.0
3048629	24.0	0.0	15.0
1294143	37.0	0.0	42.0
1930532	22.0	0.0	16.0
2748080	21.0	14.0	26.0
3141539	20.0	0.0	14.0
2706126	23.0	0.0	0.0
1856685	22.0	11.0	29.0
2614442	20.0	0.0	21.0
2730848	21.0	0.0	0.0
3029060	20.0	0.0	17.0
3048583	24.0	0.0	0.0
2498848	21.0	0.0	13.0
2874628	21.0	0.0	23.0
2986927	18.0	0.0	11.0
2054919	22.0	0.0	0.0
2883205	18.0	13.0	18.0
3019098	19.0	0.0	15.0
2954084	19.0	0.0	0.0
2487887	17.0	12.0	14.0
2320270	15.0	0.0	0.0
3048607	16.0	0.0	17.0
2991051	16.0	0.0	12.0
3110111	13.0	0.0	15.0
2954092	19.0	14.0	0.0
2895480	19.0	0.0	15.0
2052956	31.0	0.0	0.0
1736226	15.0	0.0	13.0
3019968	14.0	0.0	15.0
1898684	20.0	0.0	0.0
2975049	17.0	0.0	0.0
2972478	15.0	12.0	0.0
1881017	16.0	0.0	15.0
2512235	67.0	0.0	0.0
2073078	19.0	0.0	0.0
3048622	15.0	0.0	0.0
3078264	20.0	24.0	21.0
3043445	14.0	13.0	14.0
3136561	11.0	0.0	0.0
2944234	13.0	0.0	0.0
2973088	16.0	0.0	0.0
2850559	17.0	0.0	0.0
2986947	14.0	0.0	12.0
2954086	15.0	0.0	15.0
2998079	121.0	0.0	0.0
1283291	17.0	0.0	0.0
2901380	15.0	13.0	0.0
2749999	21.0	0.0	18.0
2961531	16.0	0.0	0.0
303	311.0	179.0	265.0
47885	74.0	31.0	58.0
47880	54.0	35.0	60.0
78327	33.0	17.0	19.0
70775	13.0	0.0	0.0
1785161	10.0	11.0	0.0
294	167.0	101.0	148.0
76758	37.0	14.0	25.0
47883	40.0	21.0	21.0
76761	43.0	17.0	24.0
200450	30.0	0.0	19.0
76760	26.0	16.0	22.0
